nombre,descripcion,precio,categoria,marca,modelo,color,peso,dimensiones,material,garantia_meses,eficiencia_energetica,impacto_ambiental,puntuacion_eco,imagen_url,stock_inicial,stock_minimo,stock_maximo
Semillas Orgánicas Mix,Mix de semillas orgánicas para huerto urbano,25.90,Jardinería Orgánica,OrganicSeeds,Urban Garden,Multicolor,0.1,20 variedades,Semillas orgánicas,N/A,N/A,Bajo,10,https://example.com/semillas-mix.jpg,80,15,200
Fertilizante Orgánico,Fertilizante orgánico líquido para plantas,28.50,Jardinería Orgánica,BioFert,Liquid Gold,Marrón,1.0,1L,Extractos vegetales,N/A,N/A,Bajo,9,https://example.com/fertilizante-organico.jpg,60,12,180
Tierra Orgánica Premium,Tierra orgánica premium para cultivos urbanos,32.00,Jardinería Orgánica,OrganicSoil,Premium Mix,Marrón,5.0,10L,Compost orgánico,N/A,N/A,Bajo,8,https://example.com/tierra-organica.jpg,40,8,120
Regadera Reciclada,Regadera fabricada con plástico 100% reciclado,22.90,Jardinería Orgánica,RecycleGarden,Eco Watering,Verde,0.6,2L,Plástico reciclado,12,N/A,Bajo,7,https://example.com/regadera-reciclada.jpg,35,7,100
Huevos Orgánicos,Huevos orgánicos de gallinas criadas en libertad,18.90,Alimentos Orgánicos,FreeRange,Organic Eggs,Marrón,0.7,12 unidades,Huevos orgánicos,N/A,N/A,Bajo,9,https://example.com/huevos-organicos.jpg,50,10,150
Yogurt Orgánico Natural,Yogurt orgánico natural sin azúcar añadido,12.50,Alimentos Orgánicos,BioYogurt,Natural Plain,Blanco,0.5,500g,Leche orgánica,N/A,N/A,Bajo,8,https://example.com/yogurt-organico.jpg,80,15,200
Queso Orgánico Cabra,Queso orgánico de cabra madurado naturalmente,45.00,Alimentos Orgánicos,GoatCheese,Artisan Aged,Blanco,0.3,300g,Leche de cabra,N/A,N/A,Bajo,9,https://example.com/queso-cabra.jpg,20,4,60
Leche Almendra Orgánica,Leche de almendra orgánica sin conservantes,16.80,Alimentos Orgánicos,NutMilk,Organic Almond,Blanco,1.0,1L,Almendras orgánicas,N/A,N/A,Bajo,8,https://example.com/leche-almendra.jpg,90,18,250
Mantequilla Maní Orgánica,Mantequilla de maní orgánica sin azúcar añadido,28.90,Alimentos Orgánicos,NutButter,Organic Peanut,Marrón,0.35,350g,Maní orgánico,N/A,N/A,Bajo,9,https://example.com/mantequilla-mani.jpg,40,8,120
Granola Orgánica,Granola orgánica con frutos secos y miel,24.50,Alimentos Orgánicos,HealthyGrain,Organic Crunch,Dorado,0.4,400g,Avena orgánica,N/A,N/A,Bajo,8,https://example.com/granola-organica.jpg,60,12,180
Té Verde Orgánico,Té verde orgánico de hojas enteras premium,19.90,Alimentos Orgánicos,OrganicTea,Green Premium,Verde,0.1,100g,Hojas de té orgánico,N/A,N/A,Bajo,9,https://example.com/te-verde.jpg,100,20,300
Manzanas Orgánicas,Manzanas orgánicas rojas sin cera ni pesticidas,12.90,Alimentos Orgánicos,OrganicFruit,Red Delicious,Rojo,1.0,1kg,Manzanas orgánicas,N/A,N/A,Bajo,10,https://example.com/manzanas-organicas.jpg,80,15,200
Plátanos Orgánicos,Plátanos orgánicos de comercio justo,8.90,Alimentos Orgánicos,FairBanana,Organic Yellow,Amarillo,1.5,1.5kg,Plátanos orgánicos,N/A,N/A,Bajo,9,https://example.com/platanos-organicos.jpg,120,25,350
Naranjas Orgánicas,Naranjas orgánicas jugosas sin tratamientos químicos,15.50,Alimentos Orgánicos,CitrusOrganic,Juicy Orange,Naranja,2.0,2kg,Naranjas orgánicas,N/A,N/A,Bajo,9,https://example.com/naranjas-organicas.jpg,70,14,180
Limones Orgánicos,Limones orgánicos frescos sin cera artificial,13.20,Alimentos Orgánicos,CitrusOrganic,Fresh Lemon,Amarillo,0.8,800g,Limones orgánicos,N/A,N/A,Bajo,9,https://example.com/limones-organicos.jpg,90,18,240
Bolsa Tela Orgánica,Bolsa reutilizable de algodón orgánico,18.50,Accesorios Ecológicos,EcoBag,Organic Cotton,Beige,0.15,40x35cm,Algodón orgánico,N/A,N/A,Bajo,8,https://example.com/bolsa-organica.jpg,200,40,600
Vaso Bambú Térmico,Vaso térmico de bambú con tapa hermética,28.90,Accesorios Ecológicos,BambooWare,Thermal Cup,Marrón,0.25,350ml,Bambú natural,12,N/A,Bajo,9,https://example.com/vaso-bambu.jpg,80,15,200
Platos Bambú Set,Set de 4 platos de bambú biodegradables,35.00,Accesorios Ecológicos,BambooWare,Dinner Set,Marrón,0.8,4 platos,Bambú prensado,N/A,N/A,Bajo,8,https://example.com/platos-bambu.jpg,50,10,150
Cubiertos Bambú,Set de cubiertos de bambú con estuche de tela,22.50,Accesorios Ecológicos,BambooWare,Cutlery Set,Marrón,0.12,18cm,Bambú natural,N/A,N/A,Bajo,9,https://example.com/cubiertos-bambu.jpg,120,25,350
Servilletas Bambú,Servilletas de bambú biodegradables pack 100,16.90,Accesorios Ecológicos,BambooWare,Eco Napkins,Blanco,0.3,100 unidades,Fibra de bambú,N/A,N/A,Bajo,8,https://example.com/servilletas-bambu.jpg,150,30,450
Protector Solar Mineral,Protector solar mineral con óxido de zinc natural,38.50,Cuidado Personal,SunEco,Mineral Shield,Blanco,0.12,100ml,Óxido de zinc,N/A,N/A,Bajo,9,https://example.com/protector-mineral.jpg,60,12,180
Desodorante Natural,Desodorante natural sin aluminio ni parabenos,25.90,Cuidado Personal,NaturalCare,Aluminum Free,Transparente,0.08,75ml,Bicarbonato de sodio,N/A,N/A,Bajo,8,https://example.com/desodorante-natural.jpg,100,20,300
Crema Facial Orgánica,Crema facial hidratante orgánica con aloe vera,42.00,Cuidado Personal,OrganicSkin,Aloe Hydrate,Blanco,0.15,50ml,Aloe vera orgánico,N/A,N/A,Bajo,9,https://example.com/crema-facial.jpg,40,8,120
Aceite Corporal Coco,Aceite corporal orgánico de coco virgen,32.90,Cuidado Personal,CocoNatural,Virgin Oil,Transparente,0.2,200ml,Aceite de coco,N/A,N/A,Bajo,8,https://example.com/aceite-coco.jpg,70,14,200
Exfoliante Café Orgánico,Exfoliante corporal de café orgánico usado,28.50,Cuidado Personal,CoffeeBeauty,Body Scrub,Marrón,0.18,180g,Café orgánico,N/A,N/A,Bajo,9,https://example.com/exfoliante-cafe.jpg,50,10,150
Shampoo Seco Avena,Shampoo seco natural de avena en polvo,22.90,Cuidado Personal,NaturalHair,Dry Oat,Beige,0.1,100g,Avena molida,N/A,N/A,Bajo,8,https://example.com/shampoo-seco.jpg,80,15,200
Mascarilla Arcilla Verde,Mascarilla facial de arcilla verde purificante,19.50,Cuidado Personal,ClayBeauty,Green Pure,Verde,0.12,120g,Arcilla verde,N/A,N/A,Bajo,9,https://example.com/mascarilla-arcilla.jpg,90,18,250
Bálsamo Labial Cera Abeja,Bálsamo labial natural con cera de abeja,8.90,Cuidado Personal,BeeCare,Lip Balm,Amarillo,0.01,4g,Cera de abeja,N/A,N/A,Bajo,8,https://example.com/balsamo-labial.jpg,200,40,600
Perfume Natural Lavanda,Perfume natural de agua de lavanda orgánica,35.00,Cuidado Personal,NaturalScent,Lavender Water,Transparente,0.1,100ml,Agua de lavanda,N/A,N/A,Bajo,9,https://example.com/perfume-lavanda.jpg,30,6,90
Cepillo Cabello Bambú,Cepillo de cabello con mango de bambú,24.50,Cuidado Personal,BambooBeauty,Hair Brush,Marrón,0.08,20cm,Bambú natural,N/A,N/A,Bajo,8,https://example.com/cepillo-cabello.jpg,60,12,180
